graphic,ftu,organ
PMC10018169_fcell-11-1142929-g002_panel_1.jpg,cortical collecting duct,kidney
PMC10018169_fcell-11-1142929-g002_panel_2.jpg,cortical collecting duct,kidney
PMC10046325_biomolecules-13-00402-g001_panel_1.jpg,cortical collecting duct,kidney
PMC10046325_biomolecules-13-00402-g003_panel_1.jpg,cortical collecting duct,kidney
PMC10046325_biomolecules-13-00402-g005_panel_1.jpg,cortical collecting duct,kidney
PMC10046325_biomolecules-13-00402-g007_panel_1.jpg,cortical collecting duct,kidney
PMC10079433_PHY2-11-e15652-g003_panel_1.jpg,cortical collecting duct,kidney
PMC10079433_PHY2-11-e15652-g003_panel_2.jpg,cortical collecting duct,kidney
PMC10079433_PHY2-11-e15652-g008_panel_1.jpg,cortical collecting duct,kidney
PMC10079433_PHY2-11-e15652-g008_panel_2.jpg,cortical collecting duct,kidney
PMC10079433_PHY2-11-e15652-g008_panel_3.jpg,cortical collecting duct,kidney
PMC10079433_PHY2-11-e15652-g008_panel_4.jpg,cortical collecting duct,kidney
PMC10088258_12951_2023_1878_Fig3_HTML_panel_1.jpg,cortical collecting duct,kidney
PMC10112930_develop-150-201238-g1_panel_1.jpg,cortical collecting duct,kidney
PMC10112930_develop-150-201238-g1_panel_2.jpg,cortical collecting duct,kidney
PMC10112930_develop-150-201238-g3_panel_1.jpg,cortical collecting duct,kidney
PMC10112930_develop-150-201238-g3_panel_2.jpg,cortical collecting duct,kidney
PMC10115815_41467_2023_37691_Fig6_HTML_panel_1.jpg,cortical collecting duct,kidney
PMC10115815_41467_2023_37691_Fig6_HTML_panel_2.jpg,cortical collecting duct,kidney
PMC10116832_13256_2023_3841_Fig2_HTML_panel_1.jpg,cortical collecting duct,kidney
PMC10116832_13256_2023_3841_Fig2_HTML_panel_2.jpg,cortical collecting duct,kidney
PMC10140477_gr1_panel_1.jpg,cortical collecting duct,kidney
PMC10140477_gr7_panel_1.jpg,cortical collecting duct,kidney
PMC10148893_TJP-601-1521-g002_panel_1.jpg,cortical collecting duct,kidney
PMC10168658_1678-8060-mioc-118-e220255-gf2_panel_1.jpg,cortical collecting duct,kidney
PMC10168658_1678-8060-mioc-118-e220255-gf2_panel_2.jpg,cortical collecting duct,kidney
PMC10168658_1678-8060-mioc-118-e220255-gf2_panel_3.jpg,cortical collecting duct,kidney
PMC10168658_1678-8060-mioc-118-e220255-gf2_panel_4.jpg,cortical collecting duct,kidney
PMC10175666_fimmu-14-1172262-g002_panel_1.jpg,cortical collecting duct,kidney
PMC10175666_fimmu-14-1172262-g002_panel_2.jpg,cortical collecting duct,kidney
PMC10189600_rsos220992f03_panel_1.jpg,cortical collecting duct,kidney
PMC10200793_41598_2023_35099_Fig1_HTML_panel_1.jpg,cortical collecting duct,kidney
PMC10200793_41598_2023_35099_Fig6_HTML_panel_1.jpg,cortical collecting duct,kidney
PMC10202830_JCB_202208065_Fig10_panel_1.jpg,cortical collecting duct,kidney
PMC10202830_JCB_202208065_Fig3_panel_1.jpg,cortical collecting duct,kidney
PMC10202830_JCB_202208065_FigS2_panel_1.jpg,cortical collecting duct,kidney
